%x,Curve1,Curve2
-0.500024,0.304247,0.188054
-0.499919,0.304649,0.189178
-0.476372,0.394645,0.440305
-0.475967,0.396194,0.439155
-0.450743,0.3443,0.367589
-0.450645,0.343823,0.367313
-0.424656,0.21633,0.248992
-0.42394,0.212387,0.245733
-0.399697,0.078879,0.101789
-0.399213,0.0762157,0.0995342
-0.372594,-0.0658213,-0.0245472
-0.348632,-0.140875,-0.136248
-0.348067,-0.142643,-0.136517
-0.322783,-0.180473,-0.148544
-0.298437,-0.179359,-0.160126
-0.297334,-0.179309,-0.159251
-0.247972,-0.130217,-0.120078
-0.24742,-0.129669,-0.119088
-0.199676,-0.0548975,-0.033353
-0.198576,-0.0531753,-0.033166
-0.149732,0.0233184,-0.0248592
-0.100788,0.0117572,-0.0165353
-0.100078,0.0115894,-0.016816
-0.050534,-0.0263492,-0.0363898
-0.00104697,-0.0777122,-0.0559412
-0.000955103,-0.0777583,-0.0559775
0.0491426,-0.102868,-0.0686315
0.0994861,-0.0915867,-0.0813477
0.0995293,-0.0915645,-0.0813586
0.149892,-0.0656023,-0.0848044
0.199171,-0.0261881,-0.0881761
0.1995,-0.0261017,-0.0881987
0.249522,-0.0129887,-0.0712808
0.249868,-0.0129068,-0.0711638
0.299869,-0.00106791,-0.0485528
0.30026,-0.00116437,-0.0483756
0.350112,-0.0134389,0.00628628
0.350196,-0.0134371,0.00637812
0.399821,-0.0123828,0.0156097
0.400531,-0.0122034,0.0157419
0.42538,-0.00592949,0.0149914
0.449578,0.00017997,0.0250671
0.449683,0.000284951,0.025111
0.474773,0.0252811,0.0812544
0.475129,0.0256364,0.0833476
0.499044,0.138832,0.223703
0.499281,0.139958,0.225098
